通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
1,2013,ニーズ調査,その他,ポストハーベスト・ロス削減のための加圧加熱食品加工技術の移転に関するニーズ調査,一般社団法人北海道食産業総合振興機構、株式会社道銀地域総合研究所 共同企業体,北海道,-,インドネシア
,,,,,,,,バングラデシュ
,,,,,,,,モロッコ
,,,,,,,,ヨルダン
,,,,,,,,
2,2013,案件化調査（中小企業支援型）,環境・エネルギー,世界自然遺産ハロン湾における集めない・混ぜない・分離する“分散型排水処理システム”を活用した水環境改善案件化調査,正和電工株式会社、株式会社長大 共同企業体,北海道,(なし),ベトナム
,,,,,,,,
3,2013,案件化調査（中小企業支援型）,環境・エネルギー,携帯電話通信網を利用したリアルタイム・モニタリングシステム普及のための案件化調査,株式会社みどり工学研究所、株式会社かいはつマネジメント・コンサルティング 共同企業体,北海道,(なし),インドネシア
,,,,,,,,
,,,,,,,,
4,2017,案件化調査（中小企業支援型）,環境・エネルギー,遠隔モニタリング技術を活用した水力発電所の運用・保守高度化に関する案件化調査,株式会社ハイテックシステム,北海道,(なし),ラオス
,,,,,,,,
,,,,,,,,
5,2013,案件化調査（中小企業支援型）,廃棄物処理,廃バッテリーリサイクルおよび環境マネジメントシステム構築案件化調査,エバーグリーン株式会社、有限会社アイエムジー 共同企業体,北海道,(なし),ケニア
,,,,,,,,
,,,,,,,,
6,2019,案件化調査（中小企業支援型）,廃棄物処理,"サバ州コタキナバル市廃タイヤ処理と廃タイヤチップ助燃剤による廃棄物処理にかかる案件化調査【5,000万円上限枠】",株式会社アクティー、株式会社廣和コーポレーション、西邦エンジニアリング株式会社 共同企業体,北海道,株式会社オリエンタルコンサルタンツグローバル,マレーシア
7,2019,案件化調査（中小企業支援型）,廃棄物処理,可燃廃棄物の代替燃料化を通した廃棄物削減・適正処理の案件化調査【アフリカ課題提示型】,有限会社タナベ,北海道,ブレインストームHR株式会社、ゴーインググリーン株式会社,エチオピア
8,2019,案件化調査（中小企業支援型）,水の浄化・水処理,バイオマス資源を再利用した浄化槽機能促進剤の製造・販売に関する案件化調査,株式会社シティック,北海道,【契約交渉中】,ベトナム
9,2019,案件化調査（中小企業支援型）,水の浄化・水処理,集落排水処理への人工湿地技術の活用による環境改善にかかる案件化調査,株式会社リードネット、有限会社古建工業 共同企業体,北海道,株式会社建設技研インターナショナル,カンボジア
10,2020,案件化調査（中小企業支援型）,福祉,ベトナム国通所型予防介護サービス導入に係る案件化調査,株式会社3eee,北海道,【契約交渉中】,ベトナム
11,2014,案件化調査（中小企業支援型）,農業,自走式ジャガイモ収穫機普及に向けた案件化調査,東洋農機株式会社,北海道,株式会社日本開発政策研究所,インド
,,,,,,,,
,,,,,,,,
