Word,Frequency
調査,213
化,178
事業,152
案件,121
ビジネス,78
普及,78
(,76
),76
技術,75
生産,75
促進,66
高,65
よる,61
実証,59
連携,58
向上,52
付加,44
価値,44
BOP,43
準備,40
加工,40
型,37
導入,36
活用,35
向け,35
関する,34
品質,33
構築,33
農業,32
小,30
基礎,29
販売,29
チェーン,28
おけ,28
性,28
る,28
システム,26
】,25
【,25
バリュー,24
栽培,24
農家,23
物,22
係る,21
農産,19
企業,19
中,18
かかる,18
用い,16
製造,16
機,15
通じ,15
産業,14
可能,14
改善,14
枠,13
食品,13
開発,13
園芸,13
地域,12
育成,12
流通,12
管理,12
規模,12
支援,12
有機,11
養殖,11
野菜,11
持続,11
省,10
アフリカ,10
5,10
提示,10
土壌,10
品,10
産地,10
課題,10
米,9
的,9
式,9
州,9
利用,9
SDGs,9
円,9
肥料,8
-,8
輸出,8
推進,8
目的,8
000,7
用,7
高度,7
花卉,7
乾燥,7
精米,7
安全,7
収入,7
",",7
業,7
上限,7
万,7
種子,6
次,6
農村,6
鮮度,6
施設,6
育苗,6
展開,6
者,6
等,6
収穫,6
日本,6
製品,6
低,6
機械,6
国,6
現地,6
資源,5
改良,5
堆肥,5
カカオ,5
整備,5
体制,5
力,5
近代,5
剤,5
漁業,5
営農,5
商品,5
市場,5
地,5
工場,5
植物,5
籾殻,5
ガ,5
コメ,5
品種,4
処理,4
灌漑,4
所得,4
保持,4
エビ,4
競争,4
分析,4
為,4
モデル,4
装置,4
水産,4
養蚕,4
水分,4
フード,4
ニンニク,4
酪農,4
農薬,4
生計,4
アイス,4
循環,4
栄養,4
ポストハーベスト,4
コーヒー,4
振興,4
花き,4
グループ,3
光,3
大豆,3
菌,3
たんぱく,3
策定,3
酸,3
IT,3
発,3
作物,3
農作,3
森林,3
安心,3
鶏卵,3
組合,3
優良,3
農地,3
苗,3
シェル,3
ラムドン,3
ダム,3
計,3
遺伝,3
訴求,3
強化,3
発電,3
再興,3
ゴマ,3
保存,3
完熟,3
作業,3
サービス,3
機能,3
減,3
サプライ,3
綿花,3
ICT,3
拡大,3
コミュニティ,3
PPP,3
インフラ,3
畜産,3
指導,3
コーディネーション,3
形成,3
切り花,3
自然,3
農法,3
バイオ,3
集約,3
ク,3
女性,3
モリン,3
衛生,3
基づく,3
効率,3
資する,3
ダ,3
ラット,3
油,3
実現,3
茶,3
サトウ,3
高原,3
キビ,3
小型,3
北部,2
エネルギー,2
創出,2
官民,2
産,2
東部,2
ナッツ,2
無,2
徳島,2
健康,2
調製,2
固有,2
原料,2
天候,2
保険,2
中堅,2
関連,2
遠隔,2
分散,2
オイル,2
フルボ,2
パッケージ,2
収量,2
台風,2
西,2
胡麻,2
濃度,2
方法,2
節水,2
方式,2
パイプ,2
つい,2
タマネギ,2
ハウス,2
対象,2
養液,2
イノベーション,2
みつまた,2
世代,2
基準,2
途上,2
ナース,2
アグリ,2
冷却,2
甘草,2
物流,2
トータル,2
維持,2
沿岸,2
精練,2
資材,2
オーガニック,2
小農,2
紅茶,2
eco,2
使用,2
いちご,2
サツマ,2
イモ,2
オリーブ,2
パンパン,2
冷蔵,2
卵殻,2
農,2
桑,2
葉茶,2
ウニ,2
1,2
.,2
貯蔵,2
億,2
低温,2
農畜産,2
発酵,2
先進,2
海外,2
リハビリ,2
有効,2
輸送,2
無病,2
播種,2
稲作,2
部分,2
耕,2
再,2
生乳,2
不,2
種苗,2
耕起,2
培養,2
ODA,2
新,2
組織,2
共同,2
メロン,2
砂丘,2
/,2
アンチ,2
情報,2
豆,2
検査,2
畑,2
ラバー,2
後,2
部,2
増加,2
確保,2
集積,2
抑制,2
ハイビスカス,2
貧困,2
緑豆,2
計画,2
人工,2
計測,2
6,2
トレーサビリティ,2
硬化,2
STEIN,2
スマート,2
ゲアン,2
農協,2
成分,2
タイ,2
ジャガイモ,2
供給,2
茶葉,2
IC,2
緑茶,2
人材,2
インド,2
能力,2
セクター,2
飼料,2
MOCS,2
輪作,2
都市,2
経営,2
果菜,2
耕畜,2
類,2
市,2
移転,2
ミルク,2
天日,1
芋,1
こんにゃく,1
回収,1
調達,1
木材,1
製,1
認証,1
マドゥラ,1
くん,1
島,1
液,1
FSC,1
蒸,1
上,1
炭,1
塩,1
自立,1
工程,1
伴う,1
底質,1
溶解,1
気体,1
ロール,1
プランター,1
産品,1
菊,1
除虫,1
線香,1
蚊取,1
素材,1
バオバブ,1
天然,1
%,1
100,1
イチゴ,1
使っ,1
ナマズ,1
ウッ,1
タル,1
プラデーシュ,1
水質,1
サイレージ,1
被害,1
パーム,1
食用,1
センナ,1
生活,1
きのこ,1
養蜂,1
タンザニア,1
ドローン,1
農民,1
性能,1
籾摺,1
パートナー,1
ミニ,1
モビリティ,1
ライス,1
確立,1
トマト,1
センター,1
だし,1
調味,1
バイオマス,1
料,1
南,1
自走,1
省力,1
さぬき,1
長期,1
蜂蜜,1
エスパルセット,1
調和,1
Tane,1
Yoi,1
高い,1
ペレット,1
スラリー,1
接木,1
規制,1
しいたけ,1
原木,1
コスト,1
レトルト,1
要素,1
常温,1
中心,1
竹,1
ロス,1
フリー,1
ウィルス,1
むけ,1
法,1
魚艙,1
レム,1
シート,1
高圧,1
超,1
台船,1
リサイクル,1
廃棄,1
石灰,1
Bubble,1
給水,1
底面,1
続く,1
年,1
1000,1
地球,1
ラク,1
』,1
一,1
第,1
『,1
内城,1
頭数,1
質,1
牛,1
授精,1
ストロー,1
精液,1
梱包,1
改質,1
低減,1
物質,1
抗生,1
乳酸,1
収益,1
至る,1
採取,1
リーフ,1
ベビー,1
軽量,1
吃水,1
流域,1
泥炭,1
鶏肉,1
養鶏,1
ジャワ,1
東,1
産官,1
資機材,1
漁獲,1
マグロ,1
米粉,1
製粉,1
六,1
Nguyen,1
Thai,1
運用,1
効果,1
灯具,1
防虫,1
LED,1
生姜,1
金時,1
接ぎ木,1
化学,1
ケース,1
調整,1
需給,1
作出,1
機会,1
新た,1
適用,1
糀,1
湿地,1
川,1
酸化,1
イラワジ,1
クラブ,1
ソフト,1
イ草,1
完全,1
配慮,1
保全,1
レンコン,1
器,1
生成,1
レドックスター,1
水,1
塩素,1
次亜,1
抽出,1
薄荷,1
ため池,1
水用,1
用途,1
並び,1
糠,1
脱脂,1
ポンプ,1
渦巻,1
経済,1
材,1
スラグ,1
製鋼,1
荒廃,1
FRP,1
ヒマ,1
ガポックタン,1
選別,1
ヘナ,1
曲げ,1
施工,1
温室,1
分野,1
革命,1
テック,1
果実,1
糖度,1
網,1
定置,1
体,1
稚,1
カシュー,1
タニ,1
既存,1
麻,1
マニラ,1
紙,1
特殊,1
マシン,1
スピンドル,1
CT,1
PA,1
除菌,1
零細,1
消費,1
特別,1
エクアドル,1
トレーサビリティプリンティングシステム,1
選果,1
マーケティング,1
茎,1
バナナ,1
ソーラー,1
可搬,1
アチェ,1
単価,1
プロセス,1
グリーン,1
熱帯,1
スキーム,1
グローバル,1
サイ,1
キリン,1
スサノオ,1
バッテリー,1
コールド,1
道路,1
ベンガル,1
倉庫,1
定温,1
蓄電,1
太陽,1
マカダミア,1
菌根,1
浮沈,1
強い,1
被災,1
ジャカルタ,1
日,1
ISPS,1
提供,1
水稲,1
食,1
ブランディング,1
福島,1
青果,1
バトゥ,1
ボード,1
水耕,1
通年,1
果物,1
価格,1
熟成,1
氷温,1
黒,1
増産,1
広域,1
生ウニ,1
シェルター,1
間,1
ニン,1
クアン,1
旭川,1
ベトナム,1
単収,1
キャッサバ,1
土づくり,1
東北,1
圃場,1
科学,1
屋内,1
レタス,1
造成,1
削減,1
トライアングル,1
ゴールデン,1
ニーズ,1
増大,1
球根,1
山岳,1
トレード,1
フェア,1
ノウハウ,1
体系,1
小豆,1
率,1
要求,1
洗卵,1
印字,1
卵,1
農機,1
熱源,1
王国,1
モロッコ,1
農水産,1
培土,1
志向,1
タコ,1
縞,1
パルプ,1
気象,1
余剰,1
石,1
減少,1
焼畑,1
果樹,1
トルコ,1
療法,1
食事,1
患者,1
病,1
腎臓,1
慢性,1
インディカ,1
テレメータ,1
クラウド,1
ネットワーク,1
センサー,1
連動,1
配分,1
利益,1
公平,1
インキュベーション,1
研修,1
フラワー,1
プリザーブド,1
アイメックシステム,1
安定,1
価,1
機器,1
女竹,1
